Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Carlos Perez","OAK","AAA",33,112,408,468,106,48,27,4,27,79,77,49,1,80,6,5,0,10,0,0,0.259803921,"10642"
"Elliot Soto","LAA","AAA",34,114,398,468,89,67,15,3,4,67,44,58,1,112,2,4,6,7,21,5,0.22361809,"11155"
"Jake Lamb","PIT","AAA",33,98,356,414,94,63,23,1,7,48,55,43,3,84,8,7,0,9,0,1,0.264044943,"13329"
"Erik Gonzalez","CIN","AAA",32,127,435,464,107,76,24,1,6,62,55,24,0,95,2,3,0,16,6,1,0.245977011,"13369"
"Jack Lopez","LAA","AAA",31,104,387,432,106,76,15,3,12,58,57,31,0,111,5,4,5,9,15,7,0.273901808,"13663"
"Albert Almora Jr.","ARI","AAA",30,127,520,576,152,96,45,2,9,79,69,42,0,81,5,4,5,12,20,7,0.292307692,"14109"
"Andrew Velazquez","ATL","AAA",29,118,429,473,104,71,17,0,16,62,48,34,0,157,1,3,6,5,33,1,0.242424242,"14196"
"Jamie Westbrook","BOS","AAA",29,102,358,425,99,62,24,1,12,52,71,48,0,72,8,6,0,16,2,2,0.276536312,"15504"
"Mark Payton","CHW","AAA",32,112,417,479,129,87,30,2,10,70,53,53,1,81,0,5,4,6,5,7,0.309352517,"16042"
"Sergio Alcantara","PIT","AAA",27,123,409,492,111,75,21,7,8,75,58,78,0,91,2,3,0,12,8,1,0.271393643,"16417"
"Jason Vosler","SEA","AAA",30,119,466,524,141,81,25,4,31,92,110,46,1,113,7,4,0,7,4,1,0.302575107,"16686"
"Eddy Alvarez","BOS","AAA",34,115,381,454,94,49,26,1,18,74,77,49,0,109,13,4,7,3,18,7,0.24671916,"16959"
"Michael Chavis","SEA","AAA",28,113,408,457,105,62,26,1,16,71,56,36,3,99,11,2,0,9,10,1,0.257352941,"17321"
