Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Chris Owings","PIT","AAA",31,86,316,371,76,43,15,3,15,50,41,51,1,106,2,1,1,2,4,5,0.240506329,"10030"
"Wil Myers","CIN","AAA",32,7,27,29,5,4,0,0,1,4,3,2,0,7,0,0,0,2,0,0,0.185185185,"10047"
"Billy Hamilton","CHW","AAA",32,36,95,113,17,12,3,1,1,19,4,14,0,35,1,1,2,0,8,0,0.178947368,"10199"
"Tucker Barnhart","LAD","AAA",32,7,22,27,5,4,1,0,0,4,1,5,1,10,0,0,0,2,0,0,0.227272727,"10200"
"Jose Iglesias","SDP","AAA",33,28,123,135,39,21,13,1,4,22,27,9,0,22,0,3,0,2,0,1,0.31707317,"10231"
"Randal Grichuk","COL","AAA",31,8,33,36,3,2,1,0,0,6,3,3,0,6,0,0,0,1,0,0,0.09090909,"10243"
"Francisco Arcia","WSN","AAA",33,11,32,35,7,4,3,0,0,5,3,2,0,10,1,0,0,0,0,0,0.21875,"10286"
"Rafael Ortega","NYM","AAA",32,74,281,339,64,37,18,0,9,51,41,54,0,57,1,2,1,4,14,8,0.227758007,"10323"
"Jon Singleton","HOU","AAA",31,82,298,364,86,48,15,1,22,50,57,63,1,75,0,3,0,5,1,1,0.288590604,"10441"
"Adeiny Hechavarria","KCR","AAA",34,36,127,141,28,14,8,0,6,18,24,12,1,32,1,1,0,3,0,0,0.22047244,"10459"
"Cesar Hernandez","SEA","AAA",33,43,125,164,34,26,8,0,0,27,14,37,0,34,0,1,1,5,7,2,0.272,"10556"
"David Freitas","LAD","AAA",34,29,112,129,33,21,7,0,5,17,26,12,0,24,2,3,0,2,0,0,0.294642857,"10619"
"Carlos Perez","OAK","AAA",32,4,13,15,5,3,2,0,0,6,3,1,0,0,1,0,0,0,0,0,0.384615384,"10642"
"Rob Brantly","TOR","AAA",33,46,144,177,39,28,10,0,1,22,16,18,0,21,12,3,0,3,0,0,0.270833333,"10655"
"Ryan LaMarre","MIN","AAA",34,28,93,108,19,10,6,0,3,12,12,12,0,33,3,0,0,1,7,1,0.204301075,"10700"
"Corey Dickerson","WSN","AAA",34,3,10,11,2,1,1,0,0,1,0,1,0,4,0,0,0,0,0,0,0.2,"10762"
"Jurickson Profar","SDP","AAA",30,4,14,20,5,3,0,0,2,6,8,5,0,2,0,1,0,1,0,0,0.357142857,"10815"
"Rangel Ravelo","SDP","AAA",31,59,203,258,63,46,9,0,8,47,35,42,0,36,5,7,0,10,0,0,0.310344827,"10839"
"Adam Duvall","BOS","AAA",34,7,24,29,5,2,1,0,2,5,3,5,0,8,0,0,0,0,0,0,0.208333333,"10950"
"Elliot Soto","MIN","AAA",33,53,164,184,35,25,7,2,1,23,13,14,0,59,2,1,3,6,9,0,0.213414634,"11155"
"Kole Calhoun","NYY","AAA",35,58,232,266,69,38,17,5,9,46,46,27,0,48,4,3,0,3,0,0,0.297413793,"11200"
"Jake Marisnick","LAD","AAA",32,41,120,145,32,19,9,2,2,14,17,19,0,33,5,1,0,3,9,1,0.266666666,"11339"
"Jesus Aguilar","ATL","AAA,CPX",33,59,214,252,59,45,9,0,5,29,38,34,2,52,1,3,0,4,0,0,0.275700934,"11342"
"Delino DeShields","SEA","AAA",30,12,45,50,10,10,0,0,0,7,2,5,0,8,0,0,0,0,3,2,0.222222222,"11379"
"Drew Maggi","PIT","AA",34,36,127,141,23,18,5,0,0,13,10,9,0,27,4,0,1,1,4,0,0.181102362,"11381"
"Gary Sanchez","NYM","AAA",30,24,81,106,17,13,3,0,1,9,13,20,0,29,4,1,0,2,1,0,0.209876543,"11442"
"Tony Wolters","MIN","AAA",31,57,172,215,42,31,8,0,3,25,21,36,0,46,5,2,0,5,0,1,0.244186046,"11470"
"Dixon Machado","HOU","AAA,CPX",31,81,256,321,59,42,9,1,7,38,34,59,0,51,4,2,0,13,1,0,0.23046875,"11472"
"Henry Ramos","CIN","AAA",31,76,280,327,89,55,18,3,13,52,55,41,1,65,4,1,1,5,6,4,0.317857142,"11481"
"Yolmer Sanchez","ATL","AAA",31,117,377,481,89,64,15,2,8,55,62,89,0,106,5,9,1,1,4,3,0.23607427,"11602"
"Brandon Drury","LAA","AAA",30,3,11,13,2,1,0,0,1,1,2,1,0,5,0,1,0,0,1,0,0.181818181,"11615"
"Joc Pederson","SFG","A",31,1,3,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"11899"
"Hanser Alberto","CHW","AAA",30,3,9,9,4,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.444444444,"11902"
"Nick Martini","CIN","AAA",33,93,345,417,95,57,20,3,15,64,65,60,0,87,9,3,0,5,0,1,0.275362318,"12005"
"Niko Goodrum","BOS","AAA",31,65,218,286,61,43,9,1,8,49,36,66,2,60,1,1,0,1,7,3,0.279816513,"12092"
"Juniel Querecuto","STL","AAA",30,106,390,440,105,75,15,2,13,53,57,40,0,101,5,2,3,6,12,1,0.269230769,"12140"
"Ben Gamel","SDP","AAA",31,77,273,332,78,47,17,1,13,51,44,53,1,73,2,3,1,5,6,4,0.285714285,"12160"
"Jorge Bonifacio","KCR","AA",30,118,435,508,116,70,20,4,22,71,88,61,1,101,3,9,0,7,6,0,0.266666666,"12174"
"Jorge Alfaro","MIA","AAA",30,64,254,278,74,48,17,2,7,27,39,14,0,65,7,3,0,4,5,0,0.291338582,"12180"
"Jake Hager","ARI","AAA",30,56,188,209,46,25,13,5,3,29,30,14,0,47,2,2,3,10,1,3,0.244680851,"12198"
"Taylor Motter","STL","AAA",33,56,208,236,53,32,12,1,8,31,26,27,1,59,1,0,0,3,8,1,0.254807692,"12399"
"Curt Casali","CIN","AAA",34,6,23,24,6,5,1,0,0,2,0,0,0,7,1,0,0,0,0,0,0.260869565,"12510"
"Kolten Wong","LAD","AAA,CPX",32,5,16,19,7,4,2,0,1,3,6,2,0,2,1,0,0,0,0,0,0.4375,"12532"
"C.J. Cron","COL","CPX",33,2,4,7,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0.25,"12546"
"John Hicks","PHI","AAA",33,54,180,206,38,23,12,0,3,26,23,19,0,56,2,4,1,5,11,1,0.211111111,"12547"
"Trevor Story","BOS","AA,AAA",30,13,40,48,12,4,4,0,4,8,9,7,0,13,1,0,0,2,1,0,0.3,"12564"
"Brad Miller","TEX","AA,AAA",33,15,54,66,11,7,1,0,3,7,6,10,0,20,1,1,0,3,0,0,0.203703703,"12775"
"Shawn Armstrong","TBR","AAA",32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12857"
"James McCann","BAL","A+,AA",33,4,16,17,4,4,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0.25,"12859"
"Phillip Evans","ARI","AAA",30,128,481,590,150,113,24,2,11,107,88,92,4,75,8,9,0,18,2,2,0.311850311,"12950"
"Michael Perez","NYM","AAA",30,70,230,270,47,31,7,0,9,27,27,34,1,64,2,3,1,4,0,0,0.204347826,"12977"
"Jose Briceno","KCR","AA,AAA",30,49,177,189,40,27,4,0,9,18,24,10,0,44,2,0,0,5,0,0,0.2259887,"13151"
"Jorge Polanco","MIN","A,AAA",29,15,50,60,14,11,2,0,1,8,2,8,0,16,1,1,0,1,0,0,0.28,"13152"
"Ildemaro Vargas","WSN","AAA",31,3,10,11,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.1,"13324"
"Jake Lamb","NYY","AAA",32,85,291,357,84,58,15,0,11,48,55,58,0,71,8,0,0,9,2,0,0.288659793,"13329"
